=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:54:01 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2339904;10268359
2339929;10268541
2339956;10268452
2339982;10268413
2340009;10268324
2340035;10268078
2340061;10268043
2340087;10267931
2340113;10267887
2340139;10268571
2340166;10268054
2340192;10268541
2340218;10268019
2340244;10268383
2340271;10268595
2340296;10268684
2340323;10268639
2340350;10269565
2340375;10269092
2340402;10269796
2340428;10270057
2340454;10269919
2340480;10269447
2340507;10269225
2340533;10269216
2340559;10269210
2340586;10269220
2340611;10269506
2340638;10269147
2340664;10269240
2340690;10269535
2340716;10269225
2340742;10269496
2340769;10269707
2340795;10269718
2340822;10269831
2340847;10270549
2340873;10270436
2340900;10270505
2340926;10270845
2340953;10271303
2340978;10271781
2341005;10271776
2341031;10272046
2341057;10272209
2341083;10272499
2341110;10272859
2341136;10273464
2341162;10273178
2341188;10272972
2341214;10273464
2341241;10273420
2341266;10273794
2341293;10273755
2341319;10274213
2341345;10274448
2341372;10274468
2341398;10274828
2341424;10275227
2341450;10275872
2341476;10275605
2341503;10275488
2341529;10276532
2341555;10276138
2341581;10276083
2341608;10276379
2341634;10276256
2341660;10277127
2341686;10277270
2341713;10277176
2341738;10278260
2341765;10277605
2341791;10277487
2341817;10277974
2341843;10277634
2341870;10278009
2341896;10278329
2341922;10277801
2341949;10278388
2341975;10278570
2342001;10278013
2342027;10278343
2342053;10278791
2342080;10279038
2342105;10279362
2342132;10279579
2342158;10279618
2342184;10279983
2342210;10280106
2342237;10280549
2342263;10280992
2342289;10280840
2342316;10280963
2342341;10281174
2342368;10280962
2342394;10281293
2342420;10281578
2342446;10281243
2342472;10281499
2342499;10282120
2342525;10281681
2342551;10282130
2342578;10282183
2342604;10282036
2342630;10281716
2342656;10281731
2342682;10281755
2342709;10282016
2342734;10281839
2342761;10281780
2342787;10282051
2342813;10281647
2342839;10281548
2342866;10281667
2342892;10281391
2342918;10281696
2342945;10281293
2342971;10282006
2342997;10281361
2343023;10281967
2343050;10281613
2343075;10281632
2343102;10281642
2343128;10281677
2343155;10282055
2343180;10284197
2343207;10281942
2343233;10282592
2343259;10282307
2343286;10281997
2343311;10282691
2343338;10282503
2343364;10282750
2343390;10282341
2343416;10282627
2343442;10282538
2343469;10283104
2343495;10282976
2343521;10283070
2343548;10283124
2343574;10283434
2343600;10283872
2343626;10284192
2343653;10283547
2343678;10283872
2343705;10284468
2343731;10283872
2343757;10284355
2343784;10284906
2343809;10285019
2343836;10285024
2343862;10285418
2343888;10285423
2343914;10285723
2343941;10285556
2343967;10285674
2343993;10285103
2344019;10285901
2344046;10285822
2344072;10286521
2344098;10285773
2344124;10285788
2344151;10286024
2344177;10286925
2344203;10287023
2344229;10286811
2344255;10287067
2344282;10286777
2344308;10287156
2344334;10287772
2344360;10288343
2344386;10289150
2344413;10288958
2344439;10288968
2344465;10288987
2344491;10288943
2344518;10289637
2344544;10290342
2344570;10290214
2344596;10290509
2344623;10290647
2344648;10291080
2344675;10291055
2344701;10291503
2344727;10291720
2344754;10291961
2344780;10291788
2344806;10292286
2344832;10292384
2344858;10292198
2344885;10291823
2344910;10292527
2344937;10292458
2344963;10292665
2344989;10292986
2345016;10293561
2345042;10293497
2345068;10294241
2345094;10293758
2345121;10293926
2345147;10294802
2345173;10294782
2345199;10294718
2345225;10295058
2345252;10295580
2345278;10295870
2345304;10295659
2345330;10295974
2345356;10295920
2345382;10296058
2345409;10296008
2345435;10295964
2345461;10295649
2345488;10295920
2345513;10295728
2345540;10296205
2345566;10295920
2345592;10295925
2345619;10296185
2345645;10296525
2345671;10297362
2345697;10297254
2345723;10297288
2345749;10296894
2345776;10297717
2345802;10297751
2345828;10297786
2345855;10297466
2345880;10297761
2345907;10297564
2345933;10297436
2345959;10297608
2345986;10297810
2346012;10297111
2346038;10296993
2346064;10296417
2346091;10296343
2346116;10296122
2346143;10295831
2346169;10295418
2346195;10295984
2346222;10295201
2346247;10295664
2346274;10295383
2346300;10295083
2346326;10295063
2346352;10295077
2346379;10295501
2346405;10295349
2346431;10295703
2346457;10295388
2346484;10295570
2346510;10296358
2346536;10295974
2346562;10296018
2346589;10297057
2346615;10296387
2346641;10296594
2346667;10296555
2346693;10296092
2346720;10295954
2346746;10295663
2346772;10295245
2346798;10295363
2346824;10295088
2346851;10294930
2346877;10295221
2346903;10294709
2346929;10294487
2346956;10294797
2346981;10294453
2347008;10294748
2347034;10294851
2347061;10294413
2347086;10294236
2347113;10294246
2347139;10294073
2347165;10294516
2347192;10294260
2347217;10294487
2347244;10294408
2347270;10294344
2347296;10294083
2347322;10294728
2347349;10294738
2347375;10294817
2347401;10294910
2347427;10295570
2347454;10295413
2347480;10295324
2347506;10295777
2347532;10295535
2347558;10295373
2347585;10295447
2347611;10296309
2347637;10295521
2347664;10295870
2347689;10295723
2347716;10295861
2347742;10296294
2347768;10296289
2347795;10296575
2347820;10296825
2347847;10297072
2347873;10297648
2347899;10298101
2347925;10298544
2347952;10298726
2347977;10299159
2348004;10298903
2348030;10300434
2348056;10300493
2348083;10301616
2348109;10301645
2348135;10302271
2348162;10302655
2348188;10303098
2348214;10303083
2348240;10303285
2348266;10303285
2348293;10303438
2348318;10302940
2348345;10303334
2348371;10303000
2348397;10302930
2348424;10303069
2348449;10303531
2348476;10303162
2348503;10302729
2348528;10303093
2348554;10302743
2348581;10303251
2348607;10303098
2348633;10303201
2348660;10303492
2348685;10303152
2348712;10303054
2348738;10303088
2348764;10303374
2348790;10303093
2348817;10303172
2348843;10303280
2348869;10303172
2348895;10302950
2348922;10303413
2348948;10303398
2348974;10303349
2349000;10303339
2349026;10303723
2349053;10303605
