=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:02:19 =~=~=~=~=~=~=~=~=~=~=~=
cl alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2832353;10260186
2832380;10260019
2832405;10260594
2832432;10259792
2832459;10259325
2832484;10259521
2832511;10259349
2832537;10259585
2832563;10260098
2832589;10259988
2832616;10259714
2832642;10259570
2832668;10260644
2832694;10258886
2832720;10260083
2832747;10259565
2832773;10260772
2832799;10259886
2832825;10259979
2832852;10259659
2832877;10259467
2832904;10259192
2832930;10258970
2832956;10259334
2832983;10260305
2833009;10260152
2833035;10259447
2833061;10259093
2833087;10259339
2833113;10259181
2833140;10259763
2833166;10259241
2833192;10259024
2833218;10258945
2833245;10259245
2833271;10259255
2833297;10259285
2833323;10259324
2833350;10259147
2833376;10259226
2833402;10259403
2833428;10259630
2833455;10260019
2833480;10259807
2833507;10260028
2833533;10259481
2833559;10259763
2833585;10259482
2833612;10259999
2833638;10259073
2833664;10258852
2833690;10259054
2833716;10259127
2833743;10259644
2833769;10259167
2833795;10259147
2833821;10259083
2833847;10260304
2833874;10259644
2833900;10259171
2833927;10259693
2833952;10259979
2833979;10259349
2834005;10259142
2834031;10259763
2834057;10259255
2834083;10259201
2834110;10259693
2834136;10259432
2834162;10259926
2834188;10259157
2834215;10259437
2834241;10259177
2834267;10259034
2834293;10259871
2834320;10259314
2834345;10259502
2834372;10260014
2834398;10259969
2834424;10259620
2834450;10259694
2834477;10259507
2834503;10259329
2834529;10259497
2834555;10259842
2834582;10259698
2834608;10260723
2834634;10259644
2834660;10259664
2834687;10259748
2834713;10259565
2834739;10259728
2834765;10394072
2834792;10260019
2834818;10259753
2834843;10259073
2834870;10258439
2834896;10254140
2834922;10249561
2834949;10244580
2834975;10240050
2835001;10235519
2835027;10230729
2835053;10225850
2835080;10219421
2835106;10213098
2835132;10207831
2835158;10202109
2835184;10197133
2835211;10191992
2835237;10186961
2835263;10181212
2835289;10175425
2835316;10169798
2835342;10164383
2835368;10159045
2835394;10153821
2835421;10148800
2835447;10143769
2835473;10139381
2835499;10134893
2835526;10130983
2835552;10124532
2835578;10120510
2835604;10115566
2835631;10110975
2835656;10106913
2835682;10101514
2835709;10097341
2835735;10093083
2835761;10088366
2835788;10084716
2835813;10081548
2835840;10077717
2835867;10074623
2835892;10071512
2835919;10067117
2835945;10064219
2835971;10061206
2835997;10058492
2836024;10056835
2836049;10053097
2836076;10050164
2836102;10048218
2836128;10044271
2836154;10042274
2836181;10041691
2836207;10039410
2836233;10037192
2836259;10035371
2836286;10033656
2836312;10031910
2836338;10029819
2836365;10028966
2836390;10027169
2836417;10026074
2836442;10024134
2836469;10022676
2836495;10022338
2836522;10022788
2836547;10021338
2836574;10020612
2836600;10019674
2836627;10018811
2836652;10019067
2836679;10017351
2836705;10017052
2836731;10017180
2836757;10016199
2836784;10015872
