=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:01:24 =~=~=~=~=~=~=~=~=~=~=~=
calir brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2183815;10165810
2183868;10164900
2183921;10165530
2183974;10165313
2184028;10166378
2184081;10166189
2184134;10166254
2184188;10165402
2184241;10165880
2184294;10167692
2184347;10167061
2184400;10166470
2184454;10167346
2184507;10167607
2184560;10165141
2184614;10164905
2184667;10164417
2184720;10164487
2184774;10164146
2184827;10164190
2184880;10166061
2184933;10168503
2184986;10168288
2185040;10168573
2185093;10166450
2185146;10165214
2185200;10167631
2185253;10165895
2185305;10164707
2185359;10164953
2185412;10164825
2185466;10164195
2185519;10165318
2185572;10166160
2185625;10167387
2185679;10167728
2185732;10169025
2185785;10168743
2185838;10169733
2185891;10168503
2185945;10167312
2185998;10168269
2186051;10168406
2186105;10169044
2186158;10169769
2186211;10170650
2186264;10168955
2186318;10169660
2186371;10169783
2186424;10168498
2186477;10168759
2186531;10168651
2186584;10169296
2186637;10169590
2186691;10169827
2186744;10169334
2186796;10170192
2186850;10170196
2186903;10170457
2186957;10169856
2187010;10169482
2187063;10168523
2187116;10169837
2187169;10170368
2187223;10170776
2187276;10171520
2187330;10172288
2187383;10172047
2187436;10172535
2187489;10171191
2187542;10171044
2187596;10171141
2187649;10170861
2187702;10170576
2187755;10169689
2187808;10170443
2187862;10169803
2187915;10171288
2187968;10171762
2188022;10172167
2188075;10171191
2188128;10171073
2188181;10171216
2188235;10169856
2188288;10170122
2188341;10170088
2188395;10171689
2188448;10170035
2188501;10170851
2188554;10170595
2188607;10170443
2188661;10171575
2188713;10171935
2188767;10171501
2188820;10171290
2188874;10171329
2188927;10171571
2188980;10170660
2189033;10171068
2189087;10171462
2189140;10172988
2189194;10173225
2189246;10173283
2189300;10173786
2189353;10173624
2189406;10173368
2189459;10172363
2189512;10173614
2189566;10173722
2189619;10174145
2189673;10174145
2189725;10173457
2189779;10173397
2189832;10173363
2189886;10173121
2189939;10173761
2189992;10173713
2190045;10173624
2190098;10174293
2190152;10173225
2190205;10172092
2190258;10172841
2190311;10173708
2190365;10173643
2190418;10174589
2190471;10174633
2190525;10174737
2190578;10173855
2190631;10177099
2190684;10173334
2190737;10172795
2190791;10172363
2190844;10172672
2190898;10172575
2190950;10172580
2191003;10173496
2191057;10173643
2191110;10174343
2191163;10174082
2191217;10174609
2191270;10173894
2191323;10173411
2191376;10174053
2191430;10174580
2191483;10174682
2191536;10174121
2191590;10174032
2191642;10174406
2191696;10174165
2191749;10175254
2191802;10175568
2191856;10177094
2191909;10177196
2191962;10176297
2192016;10177140
2192069;10176749
2192122;10176788
2192176;10177114
2192228;10177078
2192281;10176547
2192335;10175887
2192388;10176051
2192441;10175077
2192495;10175348
2192548;10175573
2192601;10176495
2192654;10177237
2192708;10177503
2192761;10178310
2192814;10177655
2192868;10176660
2192921;10175524
2192973;10174244
2193027;10174372
2193080;10175273
2193134;10175082
2193187;10175997
2193240;10175101
2193293;10175012
2193346;10171133
2193400;10170665
2193454;10171003
2193506;10173022
2193559;10173515
2193613;10175082
2193666;10176701
2193720;10177104
2193773;10171221
2193826;10171699
2193879;10172920
2193933;10173368
2193986;10174116
2194039;10174476
2194092;10176041
2194146;10177083
2194199;10177532
2194252;10178261
2194305;10177433
2194358;10178674
2194412;10178930
2194465;10178517
2194518;10177969
2194571;10177827
2194625;10176684
2194678;10177177
2194731;10176488
2194785;10177172
2194837;10176362
2194891;10177319
2194944;10177462
2194998;10177305
2195051;10177788
2195104;10177817
2195157;10178039
2195210;10177592
2195264;10178000
2195317;10177571
2195371;10177089
2195423;10177227
2195477;10177389
2195530;10176647
2195583;10176775
2195636;10176766
2195690;10176399
2195743;10176819
2195796;10175973
2195850;10175993
2195903;10175575
2195956;10176208
2196009;10176991
2196062;10177271
2196116;10177650
2196169;10177537
2196222;10176699
2196276;10177428
2196329;10178058
2196382;10179092
2196436;10179094
2196488;10179379
2196541;10179343
2196595;10177478
2196648;10175647
2196702;10175150
2196754;10176106
2196808;10177858
2196861;10177196
2196915;10176971
2196968;10177778
2197021;10177522
2197074;10177253
2197127;10176836
2197181;10177981
2197234;10178713
2197287;10179309
2197340;10179940
2197394;10178778
2197447;10178181
2197500;10178462
2197553;10178404
2197607;10178739
2197660;10178749
2197713;10177877
2197767;10178720
2197819;10178217
2197873;10177587
2197926;10177950
2197980;10178703
2198033;10178092
2198086;10177887
2198139;10177744
2198193;10177073
2198245;10176957
2198299;10177932
2198352;10178280
2198406;10178990
2198459;10177925
2198512;10177901
2198565;10177995
