=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
calibratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2035831;9896806
2035883;9897318
2035937;9896218
2035990;9896213
2036044;9895824
2036097;9895597
2036150;9895744
2036203;9895166
2036256;9895611
2036310;9895867
2036363;9895431
2036417;9895611
2036469;9895663
2036523;9895459
2036576;9894226
2036630;9892486
2036682;9893037
2036736;9892567
2036789;9892079
2036842;9890448
2036896;9890491
2036949;9890330
2037002;9889481
2037056;9888400
2037108;9888286
2037162;9888490
2037215;9888238
2037268;9888377
2037322;9889017
2037375;9888210
2037428;9887414
2037481;9887883
2037535;9887879
2037588;9887579
2037641;9887893
2037694;9888177
2037747;9887978
2037801;9887234
2037854;9886745
2037908;9886181
2037961;9884839
2038013;9884905
2038067;9884218
2038120;9883691
2038174;9882919
2038227;9881872
2038280;9882293
2038334;9880796
2038386;9881113
2038440;9879852
2038493;9878804
2038546;9878230
2038600;9879610
2038652;9878368
2038706;9878188
2038759;9878002
2038813;9877135
2038865;9876869
2038919;9876638
2038973;9875879
2039025;9875618
2039079;9875277
2039132;9874570
2039186;9874410
2039239;9875101
2039292;9873746
2039345;9874366
2039398;9874414
2039452;9873708
2039505;9873039
2039558;9872574
2039611;9872684
2039665;9871868
2039718;9872594
2039771;9872395
2039824;9871844
2039878;9871764
2039931;9871461
2039984;9872593
2040037;9872769
2040091;9872812
2040144;9872546
2040197;9872935
2040250;9871868
2040304;9870896
2040357;9871005
2040411;9870175
2040463;9869782
2040516;9869160
2040570;9868440
2040623;9867804
2040676;9868558
2040730;9868089
2040783;9866529
2040837;9868544
2040889;9867445
2040942;9867577
2040996;9867373
2041049;9866619
2041102;9866240
2041156;9866691
2041209;9866747
2041262;9866482
2041315;9866975
2041369;9865899
2041422;9866202
2041475;9865624
2041529;9864884
2041582;9864377
2041635;9865032
2041688;9865904
2041741;9864747
2041795;9864274
2041848;9863249
2041901;9863690
2041954;9863348
2042008;9862613
2042061;9863287
2042114;9863135
2042167;9863823
2042221;9862785
2042274;9862538
2042327;9861438
2042380;9860840
