=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:49:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrae te;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1444028;9987127
1444082;9987226
1444135;9986980
1444188;9987852
1444241;9987757
1444294;9986994
1444348;9987553
1444401;9987264
1444454;9987492
1444507;9987847
1444561;9986781
1444614;9986581
1444667;9986790
1444720;9986961
1444774;9986396
1444827;9985917
1444880;9987042
1444933;9985903
1444987;9986325
1445040;9985917
1445093;9986468
1445147;9984761
1445199;9984676
1445253;9984874
1445306;9984965
1445360;9984528
1445412;9985282
1445466;9984917
1445519;9984130
1445572;9983192
1445626;9983632
1445679;9983310
1445732;9983623
1445785;9983263
1445839;9982614
1445892;9981926
1445945;9983414
1445998;9981964
1446052;9981736
1446104;9981864
1446158;9982111
1446212;9982092
1446264;9982637
1446317;9983088
1446371;9983320
1446425;9983709
1446477;9983642
1446531;9983277
1446584;9982301
1446637;9982822
1446691;9982196
1446743;9981931
1446797;9981869
1446850;9981499
1446904;9981385
1446957;9981580
1447010;9981812
1447063;9982979
1447117;9983334
1447170;9984050
1447223;9984183
1447276;9985202
1447329;9984263
1447383;9984078
1447436;9984751
1447490;9984884
1447542;9984311
1447596;9983002
1447649;9982836
1447703;9980257
1447756;9979778
1447809;9979735
1447862;9978337
1447915;9978488
1447969;9977005
1448022;9975568
1448076;9975891
1448128;9975379
1448182;9974947
1448235;9975635
1448288;9978133
1448342;9975763
1448394;9978119
1448448;9978716
1448501;9977749
1448555;9978645
1448607;9977920
1448661;9976644
1448714;9977621
1448768;9976545
1448820;9975170
1448874;9975445
1448927;9974943
1448981;9975763
1449033;9975497
1449087;9976246
1449140;9975957
1449194;9977469
1449246;9976568
1449300;9978716
1449354;9977749
1449406;9978555
1449460;9978190
1449513;9977972
1449566;9979498
1449620;9978702
1449673;9978583
1449726;9979659
1449779;9979223
1449832;9979845
1449886;9979323
1449939;9979655
1449993;9978322
1450045;9978835
1450099;9978659
1450152;9977536
1450205;9977915
1450258;9977322
1450312;9978811
1450365;9977668
1450418;9977664
1450471;9977256
1450524;9977512
1450578;9976336
1450631;9976635
1450684;9975104
1450738;9974497
1450791;9972434
1450844;9978859
1450897;9980015
1450951;10000506
1451004;10020831
1451058;10029089
1451111;10042541
1451163;10049263
1451217;10049978
1451270;10054980
1451323;10063390
1451377;10073512
1451430;10079801
1451483;10090899
1451536;10091757
1451590;10099205
1451643;10105623
1451696;10113018
1451749;10118646
1451802;10127237
1451856;10130790
1451909;10127587
1451963;10131239
1452016;10139342
1452069;10139574
1452122;10143064
1452175;10150242
1452229;10160468
1452282;10162576
1452335;10172269
1452389;10175160
1452442;10177887
1452495;10184337
1452548;10186891
1452601;10191549
1452655;10194832
1452708;10194996
1452761;10191870
1452814;10196054
1452868;10201662
1452921;10206275
1452974;10210474
1453027;10214093
1453081;10218943
1453134;10220755
1453187;10223650
1453240;10225142
1453294;10232069
1453347;10233034
1453400;10232807
1453454;10232813
1453507;10236972
1453560;10239301
1453613;10243692
1453666;10244371
1453720;10247291
1453773;10251033
1453826;10252702
1453879;10253997
1453933;10256735
1453986;10259629
1454039;10261254
1454092;10261116
1454146;10265375
1454199;10267581
1454252;10266705
1454305;10268595
1454359;10271781
1454412;10273253
1454465;10274232
1454519;10278131
1454572;10279289
1454625;10280687
1454679;10283680
1454731;10284980
1454785;10287171
1454838;10287166
1454891;10281337
1454944;10284581
1454998;10286038
1455051;10285782
1455104;10289313
1455158;10292734
1455211;10294172
1455264;10295890
1455317;10293729
1455371;10293803
1455424;10296067
1455477;10296604
1455530;10300154
1455584;10302876
1455637;10304408
1455690;10305254
1455743;10303841
1455796;10305348
1455850;10305811
1455903;10309375
1455957;10310931
1456009;10311886
1456063;10311074
1456116;10312127
1456170;10312108
1456222;10311610
1456276;10311970
1456329;10313560
1456382;10314840
1456436;10313954
1456489;10314244
1456542;10314673
1456595;10316352
1456649;10318666
1456702;10320758
1456755;10321521
1456808;10319054
1456861;10318518
1456915;10318803
1456968;10319818
1457021;10318848
1457075;10321083
1457128;10323269
1457181;10324839
1457234;10325258
1457287;10324583
1457341;10322171
1457394;10321895
1457447;10323461
1457501;10323500
1457553;10322850
1457607;10323850
1457661;10325519
1457714;10326316
1457767;10327601
1457820;10330053
1457873;10332658
1457927;10332702
1457980;10331427
1458033;10331501
1458086;10331112
1458140;10331373
1458192;10330979
1458246;10331333
1458299;10332057
1458352;10331604
1458406;10333475
1458459;10335041
1458512;10336488
1458566;10333229
1458618;10333726
1458672;10333559
1458725;10332205
1458779;10334174
1458832;10334361
1458885;10335513
1458939;10335144
1458991;10337118
1459045;10335873
1459098;10336646
1459152;10337679
1459204;10339339
1459258;10338999
1459311;10339787
1459365;10339865
1459418;10339693
1459470;10339457
1459524;10338339
1459577;10338334
1459631;10339304
1459684;10339732
1459737;10341712
1459790;10342175
1459844;10343652
1459897;10342623
1459950;10339752
1460003;10339033
1460056;10340791
1460110;10341082
1460163;10341047
1460217;10341584
1460269;10342529
1460323;10344193
1460376;10343243
1460430;10343277
1460483;10343583
1460536;10343381
1460589;10345316
1460642;10344991
1460696;10345901
1460748;10344804
1460802;10344444
1460855;10343952
1460909;10344794
1460962;10344538
1461015;10346271
1461069;10345690
1461121;10345025
1461175;10346330
1461229;10346733
1461282;10347964
1461334;10346812
1461388;10346256
1461441;10347566
1461494;10348688
1461548;10349742
1461601;10351106
1461654;10349663
1461707;10349037
1461761;10349037
1461813;10348580
1461867;10348073
1461920;10347940
1461974;10348274
1462027;10347831
1462080;10346399
1462133;10346645
1462187;10348486
1462240;10350042
1462293;10354459
1462347;10350618
1462399;10350042
1462453;10349451
1462506;10350264
1462560;10350190
1462612;10350594
1462666;10350938
1462719;10351839
1462772;10353148
1462826;10350648
1462879;10350456
1462933;10350889
1462985;10350948
1463039;10352519
1463091;10351593
1463145;10350426
1463199;10349161
1463252;10350392
1463305;10350017
1463358;10352164
1463412;10352253
1463465;10352445
1463518;10351721
1463571;10350150
1463624;10350357
1463678;10350727
1463731;10351869
1463784;10352528
1463837;10353213
1463891;10353390
1463944;10354256
1463997;10354473
1464050;10353818
1464103;10354818
1464157;10353572
1464210;10355108
1464263;10353912
1464317;10353321
1464370;10353602
1464423;10354128
1464477;10353971
1464530;10355044
1464583;10354626
1464636;10354109
1464690;10353892
1464742;10354384
1464796;10354970
1464849;10355906
1464902;10356240
1464955;10356605
1465009;10356979
1465062;10357279
1465116;10355778
1465169;10355537
1465222;10355768
1465276;10357107
1465328;10358476
1465382;10357841
1465435;10358323
1465488;10359712
1465542;10358210
1465595;10356172
1465648;10355211
1465701;10355625
1465755;10356137
1465807;10355669
1465861;10356521
1465915;10357196
1465967;10358195
