=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:47:22 =~=~=~=~=~=~=~=~=~=~=~=
caliba rate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1343863;10350264
1343917;10349949
1343969;10350195
1344023;10350539
1344076;10350072
1344129;10350771
1344183;10351239
1344236;10351244
1344289;10351588
1344342;10351268
1344396;10350278
1344449;10350101
1344502;10351903
1344556;10351504
1344608;10351731
1344662;10352080
1344715;10353897
1344768;10353779
1344822;10352134
1344875;10350933
1344928;10351209
1344981;10351588
1345035;10351426
1345088;10351189
1345141;10350795
1345195;10352445
1345248;10352326
1345301;10351706
1345354;10351435
1345407;10351844
1345461;10352139
1345514;10352258
1345567;10351701
1345620;10350047
1345674;10351194
1345727;10351352
1345780;10352248
1345834;10352720
1345886;10351677
1345940;10354054
1345993;10353986
1346046;10354818
1346100;10354813
1346153;10354448
1346206;10354596
1346259;10356127
1346313;10356275
1346366;10355039
1346419;10355153
1346472;10353646
1346526;10356501
1346579;10354242
1346632;10355039
1346686;10355428
1346739;10356684
1346792;10357215
1346845;10357294
1346899;10356698
1346952;10356039
1347005;10357551
1347058;10355965
1347111;10355975
1347165;10355517
1347218;10356901
1347271;10357245
1347324;10357280
1347378;10356039
1347431;10355379
1347484;10355660
1347537;10354503
1347591;10355138
1347644;10355295
1347697;10353641
1347750;10354517
1347804;10356432
1347857;10356502
1347910;10356811
1347963;10355896
1348017;10357240
1348070;10355497
1348123;10356969
1348177;10356906
1348230;10356723
1348283;10357949
1348336;10355984
1348389;10358151
1348443;10357880
1348496;10357457
1348550;10356088
1348602;10355979
1348656;10357427
1348709;10357147
1348762;10358082
1348816;10358840
1348868;10358953
1348922;10359209
1348975;10359116
1349029;10358225
1349082;10358574
1349135;10359593
1349188;10360519
1349241;10360642
1349295;10361587
1349348;10362070
1349401;10361651
1349455;10361134
1349508;10360081
1349561;10359638
1349614;10359293
1349668;10357954
1349721;10358033
1349774;10359397
1349827;10357255
1349881;10357511
1349934;10359426
1349987;10359874
1350040;10360351
1350094;10360622
1350147;10361066
1350200;10360775
1350253;10361021
1350306;10359559
1350360;10358948
1350413;10360086
1350466;10361016
1350520;10359653
1350573;10361184
1350626;10360883
1350679;10362542
1350732;10363049
1350786;10361627
1350839;10361154
1350892;10360588
1350945;10361450
1350998;10361218
1351052;10361356
1351105;10361189
1351159;10360248
1351212;10359342
1351265;10359583
1351319;10359317
1351372;10361184
1351425;10360977
1351478;10362060
1351531;10361636
1351585;10361636
1351638;10361420
1351691;10360509
1351744;10360982
1351798;10361302
1351851;10361779
1351904;10362104
1351957;10362006
1352010;10361583
1352064;10360943
1352117;10362498
1352171;10362946
1352223;10362813
1352277;10363330
1352330;10362818
1352383;10362104
1352437;10361962
1352490;10362409
1352543;10362040
1352597;10362286
1352649;10362065
1352703;10361031
1352756;10360908
1352809;10361395
1352862;10361189
1352916;10362424
1352969;10362336
1353023;10361312
1353075;10361336
1353129;10362252
1353182;10362055
1353235;10362518
1353289;10363522
1353342;10362651
1353395;10361341
1353448;10362518
1353502;10362931
1353555;10363251
1353608;10363857
1353661;10364728
1353715;10363620
1353768;10363192
1353821;10362188
1353874;10361105
1353928;10361327
1353980;10359977
1354034;10355600
1354087;10357988
1354141;10358333
1354194;10360248
1354247;10361863
1354300;10362656
1354353;10363788
1354407;10363975
1354460;10364226
1354514;10363601
1354567;10364364
1354620;10363487
1354673;10364064
1354726;10363655
1354780;10364546
1354833;10365339
1354886;10364438
1354939;10363359
1354992;10363620
1355046;10363724
1355099;10362838
1355153;10363276
1355206;10362990
1355259;10362582
1355312;10363025
1355366;10363625
1355419;10364453
1355472;10365452
1355525;10365625
1355578;10365245
1355632;10366274
1355685;10365684
1355738;10365182
1355791;10365792
1355844;10365585
1355898;10365359
1355951;10364010
1356005;10364748
1356057;10364753
1356110;10364335
1356164;10364762
1356217;10363399
1356271;10364502
1356324;10364890
1356377;10364807
1356430;10365196
1356484;10364793
1356537;10365146
1356590;10366122
1356643;10365536
1356697;10365438
1356750;10365162
1356803;10365300
1356856;10366885
1356910;10365019
1356963;10366122
1357016;10366334
1357070;10364684
1357122;10365812
1357176;10366018
1357229;10366339
1357283;10367245
1357336;10366565
1357389;10366875
1357442;10367549
1357495;10366476
1357548;10364847
1357602;10365310
1357655;10365438
1357708;10365979
1357761;10365555
1357815;10366619
1357868;10365393
1357921;10366639
1357975;10366791
1358028;10366491
1358081;10365526
1358135;10365817
1358188;10366107
1358240;10365718
1358294;10367131
1358348;10365649
1358401;10366580
1358454;10366658
1358507;10366614
1358561;10366363
1358613;10366516
1358667;10367042
1358720;10365807
1358773;10366176
1358827;10365600
1358880;10365861
1358933;10365871
1358986;10366900
1359040;10366762
1359093;10367013
1359146;10368199
1359199;10367343
1359252;10366964
1359306;10366767
1359359;10367240
1359412;10368155
1359466;10367845
1359519;10368180
1359572;10367933
1359626;10368441
1359678;10368524
1359732;10368293
1359786;10367077
1359838;10366865
1359891;10367884
1359944;10368928
1359998;10369750
1360052;10369297
1360104;10368746
1360158;10368057
1360212;10367880
1360265;10368022
1360317;10367762
1360371;10368736
1360424;10369637
1360477;10368913
1360531;10368943
1360584;10369460
1360637;10368544
1360691;10367889
1360744;10367298
1360797;10367835
1360850;10367540
1360903;10367751
1360957;10368327
1361010;10367392
1361063;10368189
1361116;10366058
1361170;10366457
1361223;10365900
1361276;10367249
1361329;10366949
1361383;10367382
1361436;10367559
1361489;10367825
1361542;10368446
End Calibration
I received: 
