=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:52:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1649417;10448726
1649470;10448480
1649524;10448982
1649576;10447938
1649630;10447815
1649683;10447712
1649737;10447855
1649789;10448362
1649843;10449351
1649896;10450174
1649949;10450538
1650003;10449316
1650055;10449514
1650109;10451788
1650162;10451015
1650216;10450990
1650269;10450784
1650322;10451331
1650376;10451088
1650429;10451527
1650481;10451926
1650535;10451035
1650588;10450814
1650642;10450282
1650695;10450912
1650748;10451439
1650802;10451492
1650854;10451630
1650908;10450794
1650961;10451595
1651014;10452142
1651068;10452594
1651121;10453008
1651174;10453821
1651227;10454524
1651281;10454581
1651334;10453176
1651387;10453023
1651440;10453712
1651494;10453525
1651547;10453638
1651600;10453732
1651653;10453855
1651706;10454510
1651760;10454446
1651813;10454757
1651867;10454403
1651919;10455457
1651973;10455618
1652026;10455673
1652079;10455683
1652132;10456150
1652186;10457111
1652239;10456873
1652292;10456622
1652346;10456737
1652398;10457110
1652452;10457425
1652506;10457637
1652559;10457381
1652612;10455600
1652665;10455643
1652719;10455959
1652771;10455698
1652825;10454182
1652878;10452335
1652931;10453643
1652985;10454604
1653038;10455623
1653091;10456436
1653144;10456652
1653198;10456923
1653251;10457307
1653304;10457169
1653357;10458602
1653411;10458779
1653464;10458636
1653517;10458577
1653571;10458750
1653623;10457219
1653677;10456983
1653730;10457528
1653783;10458779
1653837;10458735
1653890;10459266
1653943;10458700
1653997;10458597
1654049;10459128
1654103;10460330
1654156;10459208
1654209;10459148
1654263;10458996
1654316;10458966
1654369;10458907
1654422;10458341
1654476;10459444
1654529;10460521
1654583;10460611
1654635;10460566
1654689;10460925
1654742;10460370
1654795;10459778
1654848;10459675
1654902;10460448
1654955;10460897
1655008;10460114
1655061;10458867
1655115;10458838
1655168;10458661
1655221;10458942
1655275;10459828
1655327;10460945
1655381;10461191
1655434;10461595
1655487;10460950
1655541;10461502
1655593;10461522
1655647;10461063
1655700;10460526
1655754;10460508
1655807;10460370
1655860;10459916
1655913;10460508
1655967;10460290
1656020;10459763
1656073;10460247
1656126;10460039
1656180;10459502
1656233;10459429
1656286;10459286
1656339;10460355
1656392;10460177
1656446;10459976
1656500;10457056
1656552;10456722
1656605;10457967
1656659;10458125
1656712;10458021
1656766;10458656
1656819;10459626
1656872;10459094
1656925;10460207
1656978;10459158
1657032;10459089
1657085;10459365
1657138;10459478
1657192;10459976
1657245;10459966
1657298;10459833
1657351;10461063
1657404;10461138
1657458;10460232
1657510;10460257
1657564;10459906
1657617;10460345
1657671;10460641
1657724;10461379
1657777;10461304
1657831;10462687
1657883;10462313
1657937;10460242
1657990;10460207
1658044;10461266
1658096;10461906
1658150;10461723
1658203;10462270
1658256;10461708
1658310;10462421
1658363;10462152
1658416;10462692
1658470;10463254
1658523;10463450
1658576;10463246
1658630;10463196
1658682;10463615
1658735;10465633
1658789;10464250
1658843;10464777
1658895;10463723
1658949;10463162
1659002;10463103
1659055;10463836
1659109;10464092
1659161;10464062
1659215;10464087
1659268;10464102
1659321;10464732
1659375;10464531
1659428;10464792
1659481;10464421
1659534;10463773
1659588;10463427
1659641;10462797
1659694;10463176
1659747;10463289
1659801;10463901
1659854;10464185
1659907;10463708
1659960;10462295
1660014;10462827
1660067;10464062
1660120;10464215
1660174;10464531
1660227;10465244
1660280;10464875
1660333;10465407
1660387;10466115
1660439;10466203
1660493;10466544
1660546;10466080
1660600;10465362
1660653;10466258
1660706;10466376
1660759;10466612
1660813;10466484
1660866;10466612
1660919;10466441
1660972;10465066
1661025;10465372
1661079;10465440
1661132;10466125
1661185;10466293
1661238;10466853
1661292;10467031
