=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:08:15 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
3183950;11042617
3183976;11042436
3184002;11042520
3184028;11042515
3184055;11042431
3184080;11042452
3184107;11042599
3184133;11042596
3184160;11042494
3184186;11042334
3184212;11042580
3184238;11042526
3184264;11042434
3184291;11042483
3184316;11042590
3184343;11042526
3184369;11042227
3184395;11042441
3184422;11042622
3184448;11042434
3184474;11042766
3184500;11042846
3184526;11042792
3184552;11042766
3184579;11043006
3184605;11042957
3184631;11043108
3184657;11042867
3184684;11042803
3184710;11042845
3184736;11043039
3184762;11042792
3184789;11042776
3184814;11042852
3184841;11043097
3184867;11043001
3184893;11043011
3184919;11042995
3184945;11042813
3184972;11042771
3184998;11042483
3185025;11042404
3185051;11042547
3185077;11042925
3185103;11042995
3185129;11042878
3185156;11042852
3185182;11043267
3185208;11043022
3185234;11042708
3185260;11042857
3185287;11042952
3185312;11043048
3185339;11042927
3185365;11043059
3185392;11042915
3185418;11042974
3185444;11042703
3185470;11042797
3185496;11043097
3185523;11042915
3185549;11042938
3185575;11042946
3185601;11043327
3185628;11043273
3185653;11043320
3185680;11042985
3185706;11042941
3185732;11043299
3185759;11043176
3185785;11042980
3185811;11043080
3185837;11042754
3185863;11042755
3185890;11043127
3185915;11043358
3185942;11043215
3185968;11043325
3185994;11043455
3186021;11043299
3186047;11043320
3186073;11043332
3186099;11043353
3186125;11043364
3186152;11043422
3186178;11043437
3186204;11043225
3186230;11043379
3186256;11043495
3186283;11043565
3186309;11043576
3186335;11043625
3186362;11043560
3186388;11043330
3186413;11043481
3186440;11043544
3186467;11043581
3186492;11043469
3186519;11043555
3186545;11043458
3186571;11043544
3186597;11043416
3186624;11043583
3186650;11043688
3186676;11043823
3186702;11043608
3186729;11043711
3186755;11043523
3186781;11043602
3186807;11043800
3186834;11043646
3186860;11043667
3186885;11043779
3186912;11043416
3186938;11043322
3186964;11043614
3186991;11043608
3187017;11043651
3187043;11043578
3187069;11043609
3187096;11043651
3187121;11043657
3187148;11043667
3187174;11043576
3187200;11043465
3187227;11043667
3187253;11043693
3187279;11043567
3187305;11043842
3187331;11043262
3187358;11043273
3187384;11043555
3187410;11043336
3187436;11043556
3187463;11043944
3187489;11043693
3187515;11043529
3187541;11043742
3187567;11043758
3187593;11043849
3187620;11043816
3187646;11043923
3187672;11043690
3187699;11043613
3187725;11043534
3187751;11043613
3187777;11043562
3187803;11043555
3187829;11043683
3187856;11043732
3187882;11043646
3187908;11043593
3187934;11044019
3187961;11043790
3187987;11043779
3188013;11043891
3188039;11043944
3188066;11044084
3188091;11043848
3188118;11043709
3188144;11043597
3188170;11043737
3188196;11043897
3188223;11044062
3188249;11043998
3188275;11044393
3188301;11044135
3188328;11044126
3188354;11043951
3188380;11044067
3188406;11044014
3188432;11044067
3188459;11043939
3188484;11044041
3188511;11043844
3188537;11043881
3188564;11044398
3188589;11043981
3188616;11043983
3188642;11043986
3188668;11044284
3188695;11043965
3188721;11044046
3188747;11044004
3188773;11043970
3188799;11043913
3188826;11044098
3188852;11043986
3188878;11044013
3188904;11043821
3188931;11043742
3188957;11043848
3188983;11043891
3189009;11043758
3189035;11043720
3189061;11043672
3189088;11043736
3189114;11043709
3189140;11043714
3189166;11043674
3189193;11043806
3189218;11043806
3189245;11043599
3189271;11043336
3189297;11043662
3189323;11043608
3189350;11043657
3189376;11043800
3189402;11043806
3189428;11043769
3189455;11043832
3189481;11043886
3189507;11043821
3189533;11043853
3189559;11043769
3189585;11043800
3189612;11043891
3189639;11043881
3189665;11043881
3189691;11044226
3189717;11043906
3189743;11044007
3189769;11044053
3189796;11043848
3189822;11043732
3189847;11043960
3189874;11043842
3189900;11044174
3189927;11043951
3189952;11044205
3189979;11044014
3190005;11043913
3190032;11043944
3190058;11043934
3190084;11044142
3190110;11043939
3190136;11043970
3190163;11043962
3190188;11044019
3190215;11044088
3190242;11044062
3190268;11044279
3190294;11044174
3190320;11043864
3190346;11044041
3190372;11043960
3190399;11044041
3190424;11044056
3190451;11044062
3190477;11043949
3190503;11043827
3190530;11044084
3190555;11043934
3190582;11043821
3190608;11044105
3190634;11044226
3190661;11044105
3190687;11044169
3190713;11044211
3190740;11044200
3190765;11044286
3190792;11044254
3190818;11044365
3190844;11044382
3190870;11044286
3190897;11044425
3190923;11044425
3190949;11115249
3190975;11044861
3191002;11044382
3191027;11043902
3191054;11043474
3191080;11042599
3191106;11040537
3191132;11038333
3191159;11036167
3191185;11034103
3191211;11032711
3191237;11030670
3191264;11027671
3191290;11024306
3191316;11021378
3191342;11018807
3191369;11015090
3191394;11010615
3191421;11006208
3191447;11002328
3191473;10998405
3191499;10993723
3191526;10988854
3191552;10984854
3191578;10981385
3191605;10977568
3191630;10973365
3191657;10968592
3191683;10963668
3191709;10958127
3191735;10953362
3191762;10948864
3191788;10944652
3191814;10940465
3191841;10935995
3191867;10931596
3191893;10927416
3191919;10923294
3191945;10919890
3191972;10916112
3191997;10912680
3192023;10908973
3192050;10904861
3192076;10900960
3192103;10897251
3192129;10893802
3192155;10890171
3192181;10886373
3192207;10882538
3192234;10879118
3192260;10875641
3192286;10872226
3192312;10868938
3192338;10865767
3192365;10862399
3192391;10858770
3192417;10855578
3192443;10852200
3192469;10849214
3192496;10846505
3192522;10843623
3192548;10840771
3192574;10838017
3192600;10835097
3192627;10832307
3192653;10829537
3192679;10827335
3192706;10824883
3192731;10822445
3192758;10820219
3192784;10818042
3192810;10816265
3192836;10814469
3192863;10812676
3192889;10811012
3192915;10809368
3192941;10807653
3192967;10806491
3192994;10804591
3193020;10803152
3193046;10801150
3193072;10799312
3193099;10797582
3193125;10796332
3193151;10794540
3193177;10792896
3193204;10791719
3193230;10789973
3193256;10788810
3193282;10787059
3193309;10785682
3193334;10784361
3193361;10783521
3193387;10781632
3193413;10780705
3193439;10778898
3193466;10777684
3193492;10776343
3193518;10774822
3193545;10774146
3193570;10772779
3193597;10771637
3193623;10770675
3193649;10770224
3193676;10768780
3193702;10767981
3193727;10767505
3193754;10766650
3193781;10765744
3193807;10765052
3193833;10764530
3193859;10764059
3193885;10764330
3193911;10763614
3193938;10763102
3193963;10763035
3193990;10762815
3194016;10762953
3194042;10762421
3194068;10762569
3194095;10762052
3194121;10762088
3194147;10762344
3194173;10762728
3194200;10761827
3194226;10761647
3194252;10761540
3194279;10761453
3194304;10760813
3194331;10760454
3194357;10760316
3194383;10760080
3194409;10760045
3194436;10759784
3194462;10759758
3194488;10759686
3194514;10759763
3194540;10759517
3194567;10759609
3194593;10759569
3194619;10759599
3194645;10759876
3194672;10760101
3194698;10760229
3194724;10760336
3194750;10760429
3194776;10760659
3194802;10760854
3194829;10761033
3194855;10761187
3194881;10761473
3194907;10761673
3194933;10762031
3194960;10761898
3194986;10762016
3195012;10762257
3195039;10762523
3195065;10762799
3195091;10762846
3195117;10762963
3195143;10763214
3195169;10763173
3195196;10763445
3195222;10763501
3195248;10763814
3195275;10763665
3195301;10763859
3195327;10763757
3195353;10763813
3195379;10763798
3195406;10763778
3195432;10763506
3195458;10763424
3195484;10764064
3195511;10764796
3195537;10763941
3195563;10763936
3195589;10763957
3195615;10764049
3195641;10764218
3195668;10764479
3195694;10764458
3195720;10764438
3195746;10764346
3195772;10764438
3195799;10764325
3195825;10764586
3195851;10764295
3195877;10764535
3195904;10764438
3195930;10764397
3195956;10764730
3195983;10765073
3196009;10765042
3196035;10765616
3196061;10765994
3196088;10765918
3196113;10766061
3196139;10766133
3196165;10766465
3196192;10766276
3196218;10766327
3196245;10766363
3196271;10766420
3196296;10766435
3196323;10766358
3196349;10766251
3196375;10766670
3196402;10766696
3196428;10766465
3196455;10766522
3196481;10766921
3196507;10767326
3196533;10767167
3196559;10767438
3196586;10767018
3196611;10767413
3196638;10767310
3196664;10767146
3196690;10767131
3196716;10767188
3196742;10767126
3196769;10766921
3196795;10766809
3196821;10767116
3196847;10766901
3196874;10767807
3196899;10767013
3196926;10767146
3196952;10767060
3196978;10767136
3197005;10767203
3197031;10767249
3197057;10767495
3197083;10767653
3197110;10767981
3197136;10767848
3197162;10767689
