=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:04:07 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2353419;10940008
2353472;10940734
2353525;10941251
2353579;10940606
2353632;10941256
2353686;10942526
2353739;10942696
2353791;10942717
2353845;10942839
2353898;10943336
2353951;10943662
2354004;10944088
2354058;10944334
2354111;10944410
2354165;10944804
2354218;10945666
2354270;10946458
2354324;10946635
2354377;10945676
2354431;10945616
2354484;10945253
2354537;10945674
2354591;10947011
2354644;10946241
2354697;10947058
2354750;10947570
2354803;10948041
2354857;10948030
2354910;10948247
2354963;10947954
2355017;10948169
2355070;10948824
2355122;10948098
2355176;10947017
2355229;10946583
2355283;10947053
2355336;10947309
2355389;10947463
2355442;10947806
2355496;10948255
2355549;10948963
2355602;10949705
2355655;10948937
2355709;10948414
2355762;10948393
2355816;10948649
2355868;10948378
2355921;10948905
2355975;10947390
2356028;10949138
2356081;10948425
2356135;10948158
2356188;10948323
2356241;10948195
2356294;10947730
2356347;10947288
2356401;10947489
2356454;10948519
2356507;10948824
2356561;10948989
2356614;10949010
2356667;10949747
2356720;10950350
2356773;10950402
2356827;10950907
2356880;10951834
2356934;10951978
2356987;10951784
2357040;10951667
2357093;10951664
2357146;10950954
2357200;10950878
2357253;10951272
2357306;10951006
2357359;10951066
2357413;10950293
2357466;10950319
2357520;10950415
2357573;10950436
2357626;10950530
2357679;10950698
2357732;10949807
2357785;10948845
2357839;10949352
2357892;10949828
2357945;10948905
2357999;10949229
2358052;10948655
2358105;10948641
2358158;10949911
2358211;10949833
2358265;10950776
2358318;10950643
2358372;10950943
2358424;10950862
2358478;10951476
2358531;10951134
2358584;10952181
2358638;10952035
2358691;10951813
2358744;10952304
2358797;10952976
2358850;10952665
2358904;10952976
2358957;10951876
2359010;10951962
2359064;10952388
2359117;10953323
2359170;10951865
2359223;10951144
2359276;10951311
2359330;10951727
2359383;10951149
2359436;10951614
2359489;10952330
2359543;10952939
2359596;10953673
2359649;10953077
2359703;10952576
2359755;10952398
2359809;10952516
2359863;10953200
2359915;10953874
2359969;10954065
2360022;10953652
2360075;10953848
2360129;10953796
2360182;10953493
2360235;10953412
2360288;10953621
2360341;10952761
2360395;10952288
2360448;10952320
2360502;10952931
2360555;10952346
2360608;10951481
2360661;10951753
2360714;10952756
2360767;10952725
2360821;10952939
2360874;10953569
2360927;10952106
2360981;10953033
2361034;10952419
2361087;10953258
2361141;10952858
2361193;10953302
2361246;10953028
2361300;10954020
2361353;10954159
2361407;10953885
2361460;10953966
2361513;10954099
2361566;10954637
2361619;10954783
2361673;10954561
2361726;10955170
2361779;10955543
2361833;10956392
2361885;10956925
2361939;10957242
2361992;10956782
2362046;10956622
2362099;10956408
2362152;10955977
2362205;10955374
2362259;10955225
2362312;10955635
2362365;10955671
2362418;10956183
2362471;10956638
2362525;10956173
2362578;10956249
2362631;10957001
2362684;10957699
2362738;10957983
2362791;10958869
2362844;10958712
2362898;10956264
2362951;10956463
2363004;10956463
2363057;10956121
2363110;10955711
2363164;10955452
2363217;10954721
2363271;10954559
2363324;10955149
2363376;10955293
2363430;10953605
2363483;10952275
2363536;10953435
2363590;10953519
2363643;10954031
2363696;10954574
2363749;10954668
2363803;10954755
2363856;10955342
2363910;10955554
2363962;10955828
2364015;10956228
2364069;10956957
2364122;10957187
2364176;10958072
2364229;10957492
2364282;10958286
2364335;10957999
2364388;10958425
2364442;10958339
2364495;10957599
2364549;10957727
2364602;10958051
2364655;10956669
2364708;10955768
2364761;10955209
