=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 16:03:44 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
start calibration
271273;10225471
271300;10225280
271326;10224718
271352;10224679
271378;10224653
271404;10224872
271431;10225032
271457;10224995
271483;10225052
271509;10225071
271535;10224950
271562;10225147
271588;10225413
271614;10225579
271641;10225865
271667;10225757
271692;10225791
271719;10225536
271745;10225698
271772;10225078
271798;10224791
271824;10224212
271850;10223639
271876;10222715
271902;10221779
271929;10221390
271955;10220780
271981;10219666
272008;10219529
272034;10219003
272059;10218292
272086;10217903
272112;10217595
272138;10217245
272165;10217146
272191;10216663
272217;10216462
272244;10216639
272269;10216328
272295;10216088
272322;10216221
272348;10215949
272375;10215550
272401;10215300
272427;10215019
272453;10214931
272479;10214630
272506;10214054
272532;10213675
272558;10212975
272584;10212385
272610;10211671
272637;10211760
272663;10210376
272689;10209717
272715;10209397
272741;10208949
272768;10208224
272794;10208121
272820;10207354
272846;10207604
272872;10207403
272899;10206940
272925;10207098
272951;10206560
272977;10206688
273004;10206581
273029;10206502
273056;10206630
273082;10206413
273108;10206314
273135;10205862
273161;10206147
273187;10206521
273214;10206408
273239;10205891
273266;10206502
273292;10206983
273318;10206876
273344;10207098
273371;10207801
273396;10207604
273423;10207876
273449;10207954
273475;10207599
273502;10207954
273528;10207566
273554;10207343
273580;10207234
273607;10207131
273633;10206714
273659;10206201
273685;10205753
273712;10205823
273738;10205211
273764;10205026
273790;10204645
273817;10204321
273842;10204138
273869;10203572
273895;10203021
273921;10202253
273948;10201878
273973;10201304
274000;10200549
274026;10200165
274052;10199225
274078;10198600
274104;10197561
274131;10197028
274157;10196231
274183;10196020
274209;10195926
274236;10195523
274261;10194947
274288;10195454
274315;10195098
274340;10195430
274367;10195743
274393;10196208
274419;10195587
274445;10196054
274472;10196083
274498;10196035
274524;10195937
274550;10196320
274577;10196315
274602;10196331
274629;10196177
274655;10196276
274682;10196265
274707;10196359
274734;10196645
274760;10196010
274786;10196158
274813;10196542
274839;10195882
274865;10196462
274891;10196088
274917;10196513
274944;10196689
274969;10196247
274996;10196409
275022;10196059
275048;10195962
275074;10195994
275101;10196655
275127;10195947
275153;10195518
275179;10195404
275206;10195020
275232;10194790
275258;10195030
275284;10195182
275311;10194336
275337;10194006
275362;10194464
275389;10194252
275415;10194652
275442;10194197
275468;10194273
275494;10193798
275520;10194208
275547;10194409
275573;10194680
275598;10194375
275625;10195041
275652;10195325
275678;10194892
275703;10194902
275730;10195108
275756;10194711
275782;10194784
275809;10195203
275834;10194827
275861;10194938
275887;10194429
275914;10194682
275939;10194764
275966;10195090
275992;10194946
276019;10194873
276045;10195001
276071;10194946
276097;10194661
276123;10195537
276149;10195247
276175;10195252
276202;10195247
276228;10195429
276254;10195139
276280;10195360
276307;10195228
276333;10195124
276359;10194887
276385;10194946
276412;10194899
276438;10194745
276464;10194518
276490;10194001
276517;10194035
276543;10193909
276569;10193682
276595;10193666
276621;10193264
276648;10193194
276674;10192731
276700;10192533
276726;10192358
276753;10192175
276778;10191165
276805;10191352
276831;10191141
276857;10190864
276884;10190618
276910;10191136
276936;10190412
276962;10190073
276988;10189924
277014;10189851
277040;10189658
277067;10189305
277093;10189033
