=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2079221;10096558
2079247;10096189
2079273;10095914
2079300;10095991
2079326;10096075
2079352;10095573
2079379;10095261
2079404;10094863
2079431;10094600
2079457;10094336
2079483;10094245
2079510;10093914
2079536;10093438
2079562;10092315
2079588;10093122
2079614;10092810
2079641;10093742
2079667;10093728
2079693;10094459
2079719;10094230
2079745;10095411
2079772;10095302
2079798;10096199
2079824;10097170
2079850;10098232
2079876;10098503
2079903;10098986
2079929;10099454
2079955;10099229
2079981;10100312
2080008;10100642
2080033;10100435
2080060;10100855
2080086;10101645
2080113;10101659
2080138;10101026
2080165;10101763
2080191;10101531
2080218;10101693
2080243;10102215
2080270;10102304
2080296;10103002
2080322;10102821
2080349;10103210
2080374;10103918
2080401;10104234
2080427;10104959
2080453;10106743
2080479;10105732
2080506;10106379
2080532;10106200
2080558;10107876
2080585;10107946
2080610;10108543
2080637;10109142
2080663;10109330
2080689;10111125
2080715;10110159
2080742;10111352
2080768;10111511
2080794;10111716
2080820;10111644
2080846;10112782
2080873;10113709
2080899;10113366
2080925;10113327
2080951;10112480
2080978;10113129
2081003;10113168
2081030;10112929
2081057;10112289
2081082;10112185
2081109;10112033
2081135;10112692
2081161;10114226
2081188;10113803
2081213;10113654
2081240;10114581
2081265;10115011
2081292;10114380
2081319;10115062
2081344;10114547
2081371;10116020
2081397;10116119
2081423;10117247
2081449;10117003
2081476;10116873
2081502;10118230
2081528;10119320
2081554;10119510
2081580;10120614
2081607;10120344
2081633;10120097
2081659;10121341
2081686;10121083
2081711;10121351
2081738;10121955
2081764;10121824
2081790;10121993
2081817;10122114
2081843;10122747
2081869;10120723
2081895;10121459
2081921;10121382
2081947;10121199
2081974;10121737
2082000;10120904
2082026;10120672
2082052;10119861
2082079;10119636
2082105;10119786
2082131;10119585
2082157;10118974
2082183;10118250
2082210;10118177
2082236;10117738
2082262;10116926
2082289;10116218
2082315;10116115
2082341;10116329
2082367;10117532
2082393;10117909
2082419;10117346
2082446;10118136
2082472;10117907
2082498;10118600
2082524;10118576
2082551;10118457
2082577;10119438
2082603;10119605
2082629;10118704
2082655;10118491
2082682;10118006
2082707;10118064
2082734;10117781
2082760;10118414
2082787;10118112
2082813;10117472
2082839;10117428
2082865;10116863
2082891;10118139
2082918;10117566
2082944;10117605
2082970;10117496
2082996;10117622
2083022;10117235
2083049;10116431
2083075;10115504
2083101;10115752
2083127;10115313
2083154;10115636
2083179;10114395
2083206;10114907
2083232;10113743
2083258;10112854
2083284;10112559
2083311;10112390
2083337;10113402
2083363;10113559
2083389;10113892
2083415;10113774
2083442;10114878
2083468;10115745
2083494;10115400
2083520;10116134
2083546;10115996
2083573;10115788
2083599;10116001
2083625;10115827
2083652;10116475
2083678;10117916
2083704;10117728
2083730;10117334
2083756;10117593
2083783;10117709
2083809;10117486
2083835;10117443
2083861;10117940
2083888;10117467
2083913;10117211
2083940;10117610
2083966;10117486
2083992;10117711
2084019;10118032
2084044;10118414
2084071;10118414
2084097;10118481
2084123;10117513
2084150;10118829
2084176;10118665
2084202;10119580
2084229;10119363
2084254;10120085
2084280;10119967
2084307;10120078
2084333;10120126
2084359;10120723
2084385;10120213
2084412;10120143
2084438;10120539
2084464;10120604
2084491;10120160
2084516;10120387
2084543;10120708
2084569;10121273
2084595;10119839
2084622;10119803
2084647;10119923
2084674;10120368
2084700;10119216
2084726;10118788
2084753;10118788
2084779;10117738
2084805;10117660
2084831;10118315
2084857;10118600
2084884;10118467
2084909;10116660
2084936;10116276
2084962;10115400
2084988;10115571
2085015;10115262
2085041;10115124
2085067;10115755
2085093;10115641
2085119;10116380
2085146;10116404
2085172;10116808
2085198;10116883
2085224;10117339
2085250;10117271
2085277;10118904
2085303;10119390
2085329;10119254
2085356;10119952
2085382;10120078
2085408;10120894
2085434;10122013
2085461;10122735
2085486;10122732
2085513;10122872
2085539;10122800
2085565;10123095
2085592;10122397
2085617;10123293
2085644;10123066
2085670;10123360
2085696;10123450
2085723;10123976
2085748;10123991
2085775;10124462
2085802;10124237
2085827;10124078
2085854;10125155
2085880;10125280
2085906;10124440
2085933;10124925
2085958;10125041
2085985;10126015
2086011;10125365
2086037;10125304
2086063;10125488
2086090;10125203
2086115;10124681
2086142;10125029
2086168;10125582
2086194;10124355
2086221;10124768
2086247;10123766
2086273;10123797
2086299;10124174
2086326;10123863
2086351;10124947
2086378;10125068
2086404;10124474
2086430;10125730
2086456;10125326
2086483;10126053
2086509;10127237
2086535;10127476
2086562;10126597
2086587;10126993
2086614;10126911
2086640;10127275
2086666;10128099
2086692;10127997
2086719;10127949
2086745;10127655
2086771;10128285
2086797;10128101
2086824;10129437
2086849;10129038
2086876;10128657
2086902;10129067
2086928;10129630
2086955;10131415
2086980;10131695
2087007;10132717
2087034;10131519
2087059;10131818
2087086;10131309
2087112;10131026
2087138;10132173
2087165;10130244
2087190;10129816
2087217;10130145
2087243;10129319
2087269;10130818
2087296;10129309
2087321;10129048
2087348;10128628
2087374;10128749
2087400;10128200
2087426;10128357
2087453;10127712
2087479;10128063
